Father,Mother,Gender,Kids,Height
78.5,67.0,M,1,73.2
78.5,67.0,F,2,69.2
78.5,67.0,F,3,69.0
78.5,67.0,F,4,69.0
75.5,66.5,M,1,73.5
75.5,66.5,M,2,72.5
75.5,66.5,F,3,65.5
75.5,66.5,F,4,65.5
75.0,64.0,M,1,71.0
75.0,64.0,F,2,68.0
75.0,64.0,M,3,70.5
75.0,64.0,M,4,68.5
75.0,64.0,F,5,67.0
75.0,64.0,F,6,64.5
75.0,64.0,F,7,63.0
75.0,58.5,M,1,72.0
75.0,58.5,M,2,69.0
75.0,58.5,M,3,68.0
75.0,58.5,F,4,66.5
75.0,58.5,F,5,62.5
75.0,58.5,F,6,62.5
74.0,68.0,F,1,69.5
74.0,68.0,M,2,76.5
74.0,68.0,M,3,74.0
74.0,68.0,M,4,73.0
74.0,68.0,M,5,73.0
74.0,68.0,F,6,70.5
74.0,68.0,F,7,64.0
74.0,66.5,F,1,70.5
74.0,66.5,F,2,68.0
74.0,66.5,F,3,66.0
74.5,66.0,F,1,66.0
74.0,65.5,F,1,65.5
74.0,62.0,M,1,74.0
74.0,62.0,M,2,70.0
74.0,62.0,F,3,68.0
74.0,62.0,F,4,67.0
74.0,62.0,F,5,67.0
74.0,62.0,F,6,66.0
74.0,62.0,F,7,63.5
74.0,62.0,F,8,63.0
74.0,61.0,F,1,65.0
73.0,67.0,M,1,68.0
73.0,67.0,M,2,67.0
73.0,66.5,M,1,71.0
73.0,66.5,M,2,70.5
73.0,66.5,F,3,66.7
73.0,65.0,M,1,72.0
73.0,65.0,M,2,70.5
73.0,65.0,M,3,70.2
73.0,65.0,M,4,70.2
73.0,65.0,M,5,69.2
73.0,65.0,F,6,68.7
73.0,65.0,F,7,66.5
73.0,65.0,F,8,64.5
73.0,65.0,F,9,63.5
73.0,64.5,M,1,74.0
73.0,64.5,M,2,73.0
73.0,64.5,M,3,71.5
73.0,64.5,M,4,62.5
73.0,64.5,F,5,66.5
73.0,64.5,F,6,62.3
73.0,64.0,F,1,66.0
73.0,64.0,F,2,64.5
73.0,64.0,F,3,64.0
73.2,63.0,F,1,62.7
72.7,69.0,M,1,73.2
72.7,69.0,M,2,73.0
72.7,69.0,M,3,72.7
72.7,69.0,F,4,70.0
72.7,69.0,F,5,69.0
72.7,69.0,F,6,68.5
72.7,69.0,F,7,68.0
72.7,69.0,F,8,66.0
72.0,68.0,M,1,73.0
72.0,68.0,F,2,68.5
72.0,68.0,F,3,68.0
72.0,67.0,M,1,73.0
72.0,67.0,M,2,71.0
72.0,67.0,F,3,67.0
72.0,65.0,M,1,74.2
72.0,65.0,M,2,70.5
72.0,65.0,M,3,69.5
72.0,65.0,F,4,66.0
72.0,65.0,F,5,65.5
72.0,65.0,F,6,65.0
72.0,65.0,F,7,65.0
