Father,Mother,Gender,Kids,Height
78.5,67,M,1,73.2
78.5,67,F,2,69.2
78.5,67,F,3,69
78.5,67,F,4,69
75.5,66.5,M,1,73.5
75.5,66.5,M,2,72.5
75.5,66.5,F,3,65.5
75.5,66.5,F,4,65.5
75,64,M,1,71
75,64,F,2,68
75,64,M,3,70.5
75,64,M,4,68.5
75,64,F,5,67
75,64,F,6,64.5
75,64,F,7,63
75,58.5,M,1,72
75,58.5,M,2,69
75,58.5,M,3,68
75,58.5,F,4,66.5
75,58.5,F,5,62.5
75,58.5,F,6,62.5
74,68,F,1,69.5
74,68,M,2,76.5
74,68,M,3,74
74,68,M,4,73
74,68,M,5,73
74,68,F,6,70.5
74,68,F,7,64
74,66.5,F,1,70.5
74,66.5,F,2,68
74,66.5,F,3,66
74.5,66,F,1,66
74,65.5,F,1,65.5
74,62,M,1,74
74,62,M,2,70
74,62,F,3,68
74,62,F,4,67
74,62,F,5,67
74,62,F,6,66
74,62,F,7,63.5
74,62,F,8,63
74,61,F,1,65
73,67,M,1,68
73,67,M,2,67
73,66.5,M,1,71
73,66.5,M,2,70.5
73,66.5,F,3,66.7
73,65,M,1,72
73,65,M,2,70.5
73,65,M,3,70.2
73,65,M,4,70.2
73,65,M,5,69.2
73,65,F,6,68.7
73,65,F,7,66.5
73,65,F,8,64.5
73,65,F,9,63.5
73,64.5,M,1,74
73,64.5,M,2,73
73,64.5,M,3,71.5
73,64.5,M,4,62.5
73,64.5,F,5,66.5
73,64.5,F,6,62.3
73,64,F,1,66
73,64,F,2,64.5
73,64,F,3,64
73.2,63,F,1,62.7
72.7,69,M,1,73.2
72.7,69,M,2,73
72.7,69,M,3,72.7
72.7,69,F,4,70
72.7,69,F,5,69
72.7,69,F,6,68.5
72.7,69,F,7,68
72.7,69,F,8,66
72,68,M,1,73
72,68,F,2,68.5
72,68,F,3,68
72,67,M,1,73
72,67,M,2,71
72,67,F,3,67
72,65,M,1,74.2
72,65,M,2,70.5
72,65,M,3,69.5
72,65,F,4,66
72,65,F,5,65.5
72,65,F,6,65
72,65,F,7,65
72,65.5,F,1,65.5
72,64,F,1,66
72,64,F,2,63
72,63,M,1,70.5
72,63,M,2,70.5
72,63,M,3,69
72,63,F,4,65
72,63,F,5,63
72,63,M,6,69
72,63,M,7,67
72,63,F,8,63
72,63,M,9,73
72,63,M,10,67
72,63,F,11,70.5
72,63,F,12,70
72,63,F,13,66.5
72,63,F,14,63
72.5,63.5,F,1,67.5
72.5,63.5,F,2,67.2
72.5,63.5,F,3,66.7
72,62,F,1,64
72.5,62,M,1,71
72.5,62,M,2,70
72.5,62,M,3,70
72.5,62,F,4,66
72.5,62,F,5,65
72.5,62,F,6,65
72,62,M,1,74
72,62,M,2,72
72,62,M,3,69
72,62,F,4,67.5
72,62,F,5,63.5
72,62,M,6,72
72,62,M,7,71.5
72,62,M,8,71.5
72,62,M,9,70
72,62,F,10,68
72,61,F,1,65.7
71,69,M,1,78
71,69,M,2,74
71,69,M,3,73
71,69,M,4,72
71,69,F,5,67
71,67,M,1,73.2
71,67,M,2,73
71,67,M,3,69
71,67,F,4,67
71,66,M,1,70
71,66,F,2,67
71,66,F,3,67
71,66,F,4,66.5
71,66,M,5,70
71,66,M,6,69
71,66,M,7,68.5
71,66,F,8,66
71,66,F,9,64.5
71,66,F,10,63
71,66,M,11,71
71,66,F,12,67
71,66,M,13,76
71,66,M,14,72
71,66,M,15,71
71,66,M,16,66
71,66,F,17,66
71.7,65.5,M,1,70.5
71,65.5,M,1,72
71,65.5,M,2,72
71,65.5,M,3,71
71,65.5,M,4,69
71,65.5,F,5,66
71,65.5,F,6,65
71.5,65.5,M,1,73
71.5,65.5,F,2,65.2
71.5,65,M,1,68.5
71.5,65,M,2,67.7
71,65,M,1,68
71,65,M,2,68
71,65,F,3,62
71,64,F,1,68
71,64,F,2,68
71,64,F,3,67.5
71,64,F,4,66.5
71,64,F,5,66.5
71,64,F,6,66
71,64,F,7,65.5
71,64,F,8,65
71.7,64.5,M,1,72
71.7,64.5,M,2,71
71.7,64.5,M,3,70.5
71.7,64.5,F,4,67
71,64,M,1,68
71,64,M,2,68
71,64,M,3,68
71.5,64.5,M,1,72
71.5,64.5,M,2,71
71.5,64.5,M,3,70
71.5,64.5,F,4,66
71.5,64.5,F,5,64.5
71.5,64.5,F,6,64.5
71.5,64.5,F,7,62
71.2,63,F,1,67.5
71.2,63,F,2,64.5
71,63.5,M,1,71
71,63.5,M,2,67
71,63.5,F,3,66
71,63.5,F,4,65
71,63.5,F,5,63.5
71,63,M,1,71
71,63,M,2,70
71,63,M,3,70
71,63,M,4,64
71,63,F,5,65
71,63,F,6,65
71,63,F,7,64
71,63,F,8,63
71,63,F,9,63
71,63,M,10,71
71,63,M,11,71
71,63,M,12,70
71,63,F,13,63.5
71,62,M,1,71
71,62,M,2,70
71,62,F,3,64.5
71,62,F,4,62.5
71,62,F,5,61.5
71,62,M,6,72
71,62,M,7,70.5
71,62,M,8,70.5
71,62,F,9,64.5
71,62,F,10,60
71,62.5,M,1,70
71,62.5,F,2,64
71,62.5,F,3,64
71,62.5,F,4,64
71,62.5,F,5,62.5
71,62,M,1,70.5
71,62,M,2,70
71,62,M,3,69
71,62,M,4,69
71,62,M,5,66
71,62,F,6,64.5
71,62,F,7,64
71,61,F,1,62
71,58,M,1,71.5
71,58,M,2,69
70,69,M,1,71
70,69,M,2,70
70,69,M,3,69
70,69,F,4,69
70,69,M,5,70
70,69,M,6,68.7
70,69,F,7,68
70,69,F,8,66
70,69,F,9,64
70,69,F,10,62
70,68,M,1,75
70,67,M,1,70
70,67,M,2,69
70,67,F,3,66
70,67,F,4,64
70,67,F,5,60
70,67,F,6,67.5
70,66.5,M,1,73
70,66.5,M,2,72
70,66.5,M,3,72
70,66.5,M,4,66.5
70,66.5,F,5,69.2
70,66.5,F,6,67.2
70,66.5,F,7,66.5
70,66.5,F,8,66
70,66.5,F,9,66
70,66.5,F,10,64.2
70,66.5,F,11,63.7
70.5,65,M,1,72
70.5,65,M,2,70.2
70.5,65,M,3,69
70.5,65,M,4,68.5
70.5,65,F,5,68
70.5,65,F,6,65
70.5,65,F,7,61.5
70.5,65,F,8,61
70.5,65,F,9,61
70,65,M,1,73
70,65,M,2,72
70,65,M,3,70.5
70,65,M,4,65
70,65,M,5,65
70,65,F,6,64.5
70,65,F,7,63
70,65,F,8,62
70,65,M,9,67
70,65,M,10,65
70,65,F,11,64.5
70,65,F,12,62.5
70,65,F,13,62.5
70,65,M,14,70
70,65,M,15,70
70,65,F,16,67
70,65,F,17,65
70,65,F,18,65
