STT,Father,Mother,Gender,Height,Kids
1,78.5,67,M,73.2,4
2,78.5,67,F,69.2,4
3,78.5,67,F,69,4
4,78.5,67,F,69,4
5,75.5,66.5,M,73.5,4
6,75.5,66.5,M,72.5,4
7,75.5,66.5,F,65.5,4
8,75.5,66.5,F,65.5,4
9,75,64,M,71,2
10,75,64,F,68,2
11,75,64,M,70.5,5
12,75,64,M,68.5,5
13,75,64,F,67,5
14,75,64,F,64.5,5
15,75,64,F,63,5
16,75,58.5,M,72,6
17,75,58.5,M,69,6
18,75,58.5,M,68,6
19,75,58.5,F,66.5,6
20,75,58.5,F,62.5,6
21,75,58.5,F,62.5,6
22,74,68,F,69.5,1
23,74,68,M,76.5,6
24,74,68,M,74,6
25,74,68,M,73,6
26,74,68,M,73,6
27,74,68,F,70.5,6
28,74,68,F,64,6
29,74,66.5,F,70.5,3
30,74,66.5,F,68,3
31,74,66.5,F,66,3
32,74.5,66,F,66,1
33,74,65.5,F,65.5,1
34,74,62,M,74,8
35,74,62,M,70,8
36,74,62,F,68,8
37,74,62,F,67,8
38,74,62,F,67,8
39,74,62,F,66,8
40,74,62,F,63.5,8
41,74,62,F,63,8
42,74,61,F,65,1
43,73,67,M,68,2
44,73,67,M,67,2
45,73,66.5,M,71,3
46,73,66.5,M,70.5,3
47,73,66.5,F,66.7,3
48,73,65,M,72,9
49,73,65,M,70.5,9
50,73,65,M,70.2,9
51,73,65,M,70.2,9
52,73,65,M,69.2,9
53,73,65,F,68.7,9
54,73,65,F,66.5,9
55,73,65,F,64.5,9
56,73,65,F,63.5,9
57,73,64.5,M,74,6
58,73,64.5,M,73,6
59,73,64.5,M,71.5,6
60,73,64.5,M,62.5,6
61,73,64.5,F,66.5,6
62,73,64.5,F,62.3,6
63,73,64,F,66,3
64,73,64,F,64.5,3
65,73,64,F,64,3
66,73.2,63,F,62.7,1
67,72.7,69,M,73.2,8
68,72.7,69,M,73,8
69,72.7,69,M,72.7,8
70,72.7,69,F,70,8
71,72.7,69,F,69,8
72,72.7,69,F,68.5,8
73,72.7,69,F,68,8
74,72.7,69,F,66,8
75,72,68,M,73,3
76,72,68,F,68.5,3
77,72,68,F,68,3
78,72,67,M,73,3
79,72,67,M,71,3
80,72,67,F,67,3
81,72,65,M,74.2,7
82,72,65,M,70.5,7
83,72,65,M,69.5,7
84,72,65,F,66,7
85,72,65,F,65.5,7
86,72,65,F,65,7
87,72,65,F,65,7
88,72,65.5,F,65.5,1
89,72,64,F,66,2
90,72,64,F,63,2
91,72,63,M,70.5,5
92,72,63,M,70.5,5
93,72,63,M,69,5
94,72,63,F,65,5
95,72,63,F,63,5
96,72,63,M,69,3
97,72,63,M,67,3
98,72,63,F,63,3
99,72,63,M,73,6
100,72,63,M,67,6
101,72,63,F,70.5,6
102,72,63,F,70,6
103,72,63,F,66.5,6
104,72,63,F,63,6
105,72.5,63.5,F,67.5,3
106,72.5,63.5,F,67.2,3
107,72.5,63.5,F,66.7,3
108,72,62,F,64,1
109,72.5,62,M,71,6
110,72.5,62,M,70,6
111,72.5,62,M,70,6
112,72.5,62,F,66,6
113,72.5,62,F,65,6
114,72.5,62,F,65,6
115,72,62,M,74,5
116,72,62,M,72,5
117,72,62,M,69,5
118,72,62,F,67.5,5
119,72,62,F,63.5,5
120,72,62,M,72,5
121,72,62,M,71.5,5
122,72,62,M,71.5,5
123,72,62,M,70,5
124,72,62,F,68,5
125,72,61,F,65.7,1
126,71,69,M,78,5
127,71,69,M,74,5
128,71,69,M,73,5
129,71,69,M,72,5
130,71,69,F,67,5
131,71,67,M,73.2,4
132,71,67,M,73,4
133,71,67,M,69,4
134,71,67,F,67,4
135,71,66,M,70,4
136,71,66,F,67,4
137,71,66,F,67,4
138,71,66,F,66.5,4
139,71,66,M,70,6
140,71,66,M,69,6
141,71,66,M,68.5,6
142,71,66,F,66,6
143,71,66,F,64.5,6
144,71,66,F,63,6
145,71,66,M,71,2
146,71,66,F,67,2
147,71,66,M,76,5
148,71,66,M,72,5
149,71,66,M,71,5
150,71,66,M,66,5
151,71,66,F,66,5
152,71.7,65.5,M,70.5,1
153,71,65.5,M,72,6
154,71,65.5,M,72,6
155,71,65.5,M,71,6
156,71,65.5,M,69,6
157,71,65.5,F,66,6
158,71,65.5,F,65,6
