Father,Mother,Gender,Height,Kids
78.5,67,M,73.2,1
78.5,67,F,69.2,2
78.5,67,F,69,3
78.5,67,F,69,4
75.5,66.5,M,73.5,1
75.5,66.5,M,72.5,2
75.5,66.5,F,65.5,3
75.5,66.5,F,65.5,4
75,64,M,71,1
75,64,F,68,2
75,64,M,70.5,3
75,64,M,68.5,4
75,64,F,67,5
75,64,F,64.5,6
75,64,F,63,7
75,58.5,M,72,1
75,58.5,M,69,2
75,58.5,M,68,3
75,58.5,F,66.5,4
75,58.5,F,62.5,5
75,58.5,F,62.5,6
74,68,F,69.5,1
74,68,M,76.5,2
74,68,M,74,3
74,68,M,73,4
74,68,M,73,5
74,68,F,70.5,6
74,68,F,64,7
74,66.5,F,70.5,1
74,66.5,F,68,2
74,66.5,F,66,3
74.5,66,F,66,1
74,65.5,F,65.5,1
74,62,M,74,1
74,62,M,70,2
74,62,F,68,3
74,62,F,67,4
74,62,F,67,5
74,62,F,66,6
74,62,F,63.5,7
74,62,F,63,8
74,61,F,65,1
73,67,M,68,1
73,67,M,67,2
73,66.5,M,71,1
73,66.5,M,70.5,2
73,66.5,F,66.7,3
73,65,M,72,1
73,65,M,70.5,2
73,65,M,70.2,3
73,65,M,70.2,4
73,65,M,69.2,5
73,65,F,68.7,6
73,65,F,66.5,7
73,65,F,64.5,8
73,65,F,63.5,9
73,64.5,M,74,1
73,64.5,M,73,2
73,64.5,M,71.5,3
73,64.5,M,62.5,4
73,64.5,F,66.5,5
73,64.5,F,62.3,6
73,64,F,66,1
73,64,F,64.5,2
73,64,F,64,3
73.2,63,F,62.7,1
72.7,69,M,73.2,1
72.7,69,M,73,2
72.7,69,M,72.7,3
72.7,69,F,70,4
72.7,69,F,69,5
72.7,69,F,68.5,6
72.7,69,F,68,7
72.7,69,F,66,8
72,68,M,73,1
72,68,F,68.5,2
72,68,F,68,3
72,67,M,73,1
72,67,M,71,2
72,67,F,67,3
72,65,M,74.2,1
72,65,M,70.5,2
72,65,M,69.5,3
72,65,F,66,4
72,65,F,65.5,5
72,65,F,65,6
72,65,F,65,7
72,65.5,F,65.5,1
72,64,F,66,1
72,64,F,63,2
72,63,M,70.5,1
72,63,M,70.5,2
72,63,M,69,3
72,63,F,65,4
72,63,F,63,5
72,63,M,69,6
72,63,M,67,7
72,63,F,63,8
72,63,M,73,9
72,63,M,67,10
